movieId,person_tmdbId,role
1,12899,Slinky Dog (voice)
1,12898,Buzz Lightyear (voice)
1,31,Woody (voice)
1,7167,Mr. Potato Head (voice)
2,2157,Alan Parrish
2,145151,Peter Shepherd
2,205,Judy Shepherd
2,8537,Samuel Alan Parrish / Van Pelt
3,6837,Max Goldman
3,13567,Ariel Gustafson
3,3151,John Gustafson
3,16757,Maria Sophia Coletta Ragetti
4,8851,Savannah Jackson
4,51359,Robin Stokes
4,9780,Bernie Harris
4,18284,Gloria Matthews
5,67773,George Banks
5,70696,Annie Banks-MacKenzie
5,3092,Nina Banks
5,519,Franck Eggelhoffer
6,1158,Lt. Vincent Hanna
6,380,Neil McCauley
6,5576,Chris Shiherlis
6,10127,Nate
7,15887,Sabrina Fairchild
7,3,Linus Larrabee
7,12957,Maude Larrabee
7,17141,David Larrabee
8,53283,Tom Sawyer
8,51214,Huck Finn
8,57448,Injun Joe
8,7867,Judge Thatcher
9,15111,Darren Francis Thomas McCord
9,6280,Joshua Foss
9,10361,Vice President Daniel Bender
9,79088,Emily McCord
10,517,James Bond
10,10696,Xenia Onatopp
10,48,Alec Trevelyan
10,10695,Natalya Fyodorovna Simonova
11,8349,A.J. MacInerney
11,521,Lewis Rothschild
11,3392,Andrew Shepherd
11,516,Sydney Ellen Wade
12,12688,Thomas Renfield
12,7633,Count Dracula
12,6106,Jonathan Harker
12,1219,Mina Seward
13,4724,Balto (voice)
13,382,Boris the Goose (voice)
13,12077,Steele the Sled Dog (voice)
13,2233,Jenna (voice)
14,228,E. Howard Hunt
14,4173,Richard Nixon
14,6280,Alexander Haig
14,11148,Pat Nixon
15,16935,Morgan Adams
15,8924,Dawg
15,8654,William Shaw
15,7868,John Reed
16,380,Sam 'Ace' Rothstein
16,4517,Nicky Santoro
16,4430,Ginger McKenna
16,4512,Lester Diamond
17,10726,John Dashwood
17,204,Marianne Dashwood
17,207,Mr. Dashwood
17,17477,Fanny Ferrars Dashwood
18,3123,null
18,3124,Athena
18,3125,Elspeth
18,3122,Jezebel
19,206,Ace Ventura
19,3547,Fulton Greenwall
19,4001,Vincent Cadby
19,57096,Ouda
20,10814,John
20,9287,Donald Patterson
20,57755,Charlie
20,16866,Grace Santiago
21,518,Martin Weir
21,193,Harry Zimm
21,14343,Karen Flores
21,8891,Chili Palmer
22,10205,Helen Hudson
22,18686,M.J. Monahan
22,20212,Ruben Goetz
22,18687,Peter Foley
23,16483,Robert Rath
23,58556,Nicolai Tashlinkov
23,3131,Miguel Bain
23,1231,Electra
24,2453,Jessie Caldwell
24,4785,Donald Ripley
24,2714,Sheriff Doug Barnum
24,54789,Jeremy 'Powder' Reed
25,2963,Ben Sanderson
25,1951,Sera
25,6104,Yuri
25,6105,Peter
26,1350,Desdemona
26,2975,Othello
26,11181,Iago
26,27631,Cassio
27,29369,Tina 'Teeny' Tercell
27,2155,Teeny
27,12929,Dr. Roberta Martin
27,6886,Young Roberta Martin
28,30318,Anne Elliott
28,87415,Lady Russell
28,8785,Captain Frederick Wentworth
28,13328,Sir Walter Eliot
29,2372,One
29,13842,Miette
29,13843,Krank
29,2413,Le Scaphandrier / Les Clones
30,643,Bijou (Xiao Jinbao)
30,146097,Boss Tang Laoda
30,150151,Shuisheng
30,143358,null
31,1160,Louanne Johnson
31,11902,Carla Nichols
31,10477,Hal Griffith
31,24047,George Grandey
32,62,James Cole
32,288,Jose
32,1077231,Scarface
32,975569,Young Cole
34,1331,Rex the Male Sheepdog (voice)
34,58136,Babe the Gallant Pig (voice)
34,52699,Ferdinand the Duck (voice)
34,6199,Fly the Female Sheepdog (voice)
35,27764,Ralph Partridge
35,7056,Dora Carrington
35,54447,Gerald Brenan
35,378,Lytton Strachey
36,4038,Sister Helen Prejean
36,10361,Earl Delacroix
36,10360,Hilton Barber
36,2228,Matthew Poncelet
37,6171,Seaman--Pilot
37,1467084,Tomas Minton
37,1467085,Freighter Chief
37,1467086,Seaman
38,1796,Diane Barrows
38,26472,Roger Callaway
38,67849,Amanda Lemmon / Alyssa Callaway
38,67848,Alyssa Callaway / Amanda Lemmon
39,5588,Cher Horowitz
39,22226,Josh Lucas
39,328,Tai Frasier
39,58150,Dionne Davenport
40,15152,Rev. Stephen Kumalo
40,65887,null
40,194,James Jarvis
40,17764,John Kumalo
41,1327,Richard III
41,388,The Duke of Buckingham
41,516,Queen Elizabeth
41,3223,Earl Rivers
42,18291,Anthony Curtis
42,6862,Jose
42,66,Skip
42,65827,Kirby
43,4783,King Charles II
43,11207,John Pearce
43,3223,Robert Merivel
43,6416,Celia Clemence
44,38559,Lord Rayden
44,57251,Johnny Cage
44,57250,Liu Kang
44,11398,Shang Tsung
45,73421,Jimmy Emmett
45,2876,Larry Maretto
45,1893,Russel Hines
45,2227,Suzanne Stone
46,10774,Glady Joe Cleary
46,1920,Finn Dodd
46,2059,Finn's Father
46,689,Sally
47,192,Detective Lt. William Somerset
47,287,Detective David Mills
47,12047,Dead Man
47,12054,Detective Taylor
48,2461,John Smith (voice)
48,65529,Pocahontas (voice)
48,28010,Governor Ratcliffe (voice)
48,110316,Pocahontas (singing voice)
49,15319,Martin
49,54819,Petra
49,4569,null
49,54818,Camille Baker
50,5168,Dean Keaton
50,9045,Michael McManus
50,1121,null
50,7166,Todd Hockney
52,1243,Lenny
52,23931,Linda Ash
52,1661612,null
52,23893,null
53,27392,Gino
53,1180060,Spiro
53,1149435,Selimi
53,25819,Fiore
54,46423,Miss Anna Mongomery
54,6067,Coach Jay Huffer
54,26472,Sheriff Tom Palmer
54,8659,Edwin V. Douglas
55,10431,Sadie Flood
55,7268,Axel Goldman
55,51544,Georgia Flood
55,15854,Jake
57,18686,Claudia Larson
57,1466,Henry Larson
57,3223,Tommy Larson
57,10774,Adele Larson
58,24366,Pablo Neruda
58,14149,Telegrapher
58,10777,Beatrice Russo
58,67792,Mario Ruoppolo
59,1019878,Marc Lamontagne
59,1019879,Raymond Massicotte
59,5470,Assistant to Hitchcock
59,38524,Pierre Lamontagne
60,69301,Omri
60,69302,Little Bear
60,32225,Jane
60,28633,Victor
61,35,Karen McCann
61,228,Mack McCann
61,27261,Julie McCann
61,157108,Megan McCann
62,21105,Bill Meister
62,21104,Iris Holland
62,3019,Principal Helen Jacobi
62,3037,Glenn Holland
63,27590,Preach
63,66131,Dashiki
63,9562,Loc Dog
63,35690,Ashtray
64,5724,Francis 'Frank' O'Brien
64,18277,Roz
64,8435,Evan Marsh
64,5050,FBI Agent O'Malley
65,7676,Dr. Noah Faulkner
65,23970,Olivia Biggs
65,57868,Mimi Simkins
65,57869,T.C. Romulus
66,29459,Dr. Benjamin Trace
66,40009,Jobe Smith
66,36898,Dr. Cori Platt
66,58119,Peter Parkette
68,13689,Antoine
68,4275,Laurent Lafaye
68,35137,Marijo
68,25256,Loli
69,8396,null
69,9781,Debbie
69,66,Smokey
69,9778,Craig Jones
70,1461,Seth Gecko
70,138,Richard Gecko
70,1037,Jacob Fuller
