movieId,title,budget,countries,movie_imdbId,imdbRating,imdbVotes,languages,plot,movie_poster,released,revenue,runtime,movie_tmdbId,movie_url,year,genres
1,Toy Story,30000000.0,USA,114709,8.3,591836,English,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,https://image.tmdb.org/t/p/w440_and_h660_face/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,1995-11-22,373554033.0,81,862,https://themoviedb.org/movie/862,1995,Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji,65000000.0,USA,113497,6.9,198355,English|French,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.",https://image.tmdb.org/t/p/w440_and_h660_face/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,1995-12-15,262797249.0,104,8844,https://themoviedb.org/movie/8844,1995,Adventure|Children|Fantasy
3,Grumpier Old Men,,USA,113228,6.6,18615,English,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",https://image.tmdb.org/t/p/w440_and_h660_face/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,1995-12-22,,101,15602,https://themoviedb.org/movie/15602,1995,Comedy|Romance
4,Waiting to Exhale,16000000.0,USA,114885,5.6,7210,English,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",https://image.tmdb.org/t/p/w440_and_h660_face/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg,1995-12-22,81452156.0,124,31357,https://themoviedb.org/movie/31357,1995,Comedy|Romance|Drama
5,Father of the Bride Part II,,USA,113041,5.9,25938,English,"In this sequel, George Banks deals not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",https://image.tmdb.org/t/p/w440_and_h660_face/lf9RTErt8BSLQy98aSFblElvsCQ.jpg,1995-12-08,76578911.0,106,11862,https://themoviedb.org/movie/11862,1995,Comedy
6,Heat,60000000.0,USA,113277,8.2,416316,English|Spanish,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,https://image.tmdb.org/t/p/w440_and_h660_face/rrBuGu0Pjq7Y2BWSI6teGfZzviY.jpg,1995-12-15,187436818.0,170,949,https://themoviedb.org/movie/949,1995,Action|Crime|Thriller
7,Sabrina,58000000.0,Germany|USA,114319,6.2,29091,English|French,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",https://image.tmdb.org/t/p/w440_and_h660_face/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,1995-12-15,53672080.0,127,11860,https://themoviedb.org/movie/11860,1995,Comedy|Romance
8,Tom and Huck,,USA,112302,5.6,7224,English,"Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc, Tom steps up as a witness, not respecting the promise made to Huck to lay low.",https://image.tmdb.org/t/p/w440_and_h660_face/lOnbEStMnDGKWJGvPEsMoZDML1b.jpg,1995-12-22,23920048.0,97,45325,https://themoviedb.org/movie/45325,1995,Adventure|Children
9,Sudden Death,35000000.0,USA,114576,5.7,24978,English,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,https://image.tmdb.org/t/p/w440_and_h660_face/4Snihptli0we9I4W5QfufOdHSeV.jpg,1995-12-22,64350171.0,111,9091,https://themoviedb.org/movie/9091,1995,Action
10,GoldenEye,58000000.0,UK|USA,113189,7.2,194676,English|Russian|Spanish,James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead.,https://image.tmdb.org/t/p/w440_and_h660_face/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,1995-11-17,352194034.0,130,710,https://themoviedb.org/movie/710,1995,Adventure|Action|Thriller
11,"American President, The",62000000.0,USA,112346,6.8,41983,English|French,"Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but politics is perception and sparks fly anyway.",https://image.tmdb.org/t/p/w440_and_h660_face/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,1995-11-17,107879496.0,114,9087,https://themoviedb.org/movie/9087,1995,Comedy|Romance|Drama
