person_tmdbId,bio,born,bornIn,died,person_imdbId,name,person_poster,person_url
3,"Legendary Hollywood Icon Harrison Ford was born on July 13, 1942 in Chicago, Illinois.   His family history includes a strong lineage of actors, radio personalities, and models.   Harrison attended public high school in Park Ridge, Illinois where he was a member of the school Radio Station WMTH.  Harrison worked as the lead voice for sports reporting at WMTH for several years.   Acting wasn’t a major interest to Ford until his junior year at Ripon College when he first took an acting class...",1942-07-13,"Chicago, Illinois, USA",,148,Harrison Ford,https://image.tmdb.org/t/p/w440_and_h660_face/5M7oN3sznp99hWYQ9sX0xheswWX.jpg,https://themoviedb.org/person/3
31,"Thomas Jeffrey Hanks (born July 9, 1956) is an American actor and filmmaker.  Known for both his comedic and dramatic roles, Hanks is one of the most popular and recognizable film stars worldwide, and is widely regarded as an American cultural icon. 

Hanks made his breakthrough with leading roles in the comedies Splash (1984) and Big (1988)...",1956-07-09,"Concord, California, USA",,158,Tom Hanks,https://image.tmdb.org/t/p/w440_and_h660_face/mKr8PN8sn80LzVaZMg8L52kmakm.jpg,https://themoviedb.org/person/31
32,"Robin Gayle Wright (born April 8, 1966) is an American actress.  She is best known for her roles as Jenny Curran in Forrest Gump, as Buttercup in The Princess Bride, and as Mary Surratt in The Conspirator.  She has also been credited as Robin Wright Penn...",1966-04-08,"Dallas, Texas, USA",,705,Robin Wright,https://image.tmdb.org/t/p/w440_and_h660_face/roJedXmjqEcSOC1HaQ4e9gEWdR3.jpg,https://themoviedb.org/person/32
35,"Sally Margaret Field (born November 6, 1946) is an American actress and director.  She is the recipient of various accolades, including two Academy Awards, three Primetime Emmy Awards, two Golden Globe Awards, and a Screen Actors Guild Award, and she has been nominated for a Tony Award and two BAFTA Awards. 

Description above from the Wikipedia article Sally  Field, licensed under CC-BY-SA, full list of contributors on Wikipedia...",1946-11-06,"Pasadena, California, USA",,398,Sally Field,https://image.tmdb.org/t/p/w440_and_h660_face/36qWnokCU1VOdSyrmGbTxzGou44.jpg,https://themoviedb.org/person/35
48,"Shaun Mark ""Sean"" Bean (born 17 April 1959) is an English film and stage actor.  Bean is best known for starring roles in the films Lord of the Rings: The Fellowship of the Ring, GoldenEye, Patriot Games, Troy, National Treasure and Silent Hill, as well as the television series Sharpe.  Bean has also acted in a number of television productions, most recent being HBO's Game of Thrones, as well as performing voice work for computer games and television adverts...",1959-04-17,"Sheffield, South Yorkshire, England, UK",,293,Sean Bean,https://image.tmdb.org/t/p/w440_and_h660_face/kTjiABk3TJ3yI0Cto5RsvyT6V3o.jpg,https://themoviedb.org/person/48
52,"David Bowditch Morse (born October 11, 1953) is an American stage, television, and film actor.  He first came to national attention as Dr.  Jack Morrison in the medical drama St.  Elsewhere from 1982 to 1988.  Morse continued his movie career with roles in Dancer in the Dark, The Negotiator, The Green Mile, Disturbia, The Long Kiss Goodnight, The Crossing Guard, The Rock, Extreme Measures, Twelve Monkeys, 16 Blocks, and Hounddog...",1953-10-11,"Hamilton, Massachusetts, USA",,1556,David Morse,https://image.tmdb.org/t/p/w440_and_h660_face/3YeyORYXfhIOEDtfUbrkMF9qEjf.jpg,https://themoviedb.org/person/52
62,"An American actor and producer.  His career began in television in the 1980s and has continued both in television and film since, including comedic, dramatic, and action roles.  He is well known for the role of John McClane in the Die Hard series.  Willis was born in Idar-Oberstein, West Germany, the son of a Kassel-born German, Marlene, who worked in a bank, and David Willis, an American soldier.  Willis is the eldest of four children...",1955-03-19,"Idar-Oberstein, Germany",,246,Bruce Willis,https://image.tmdb.org/t/p/w440_and_h660_face/A1XBu3CffBpSK8HEIJM8q7Mn4lz.jpg,https://themoviedb.org/person/62
66,"Christopher ""Chris"" Tucker (born August 31, 1971) is an American actor and comedian, best known for his roles as Detective James Carter in the Rush Hour trilogy and Smokey in the 1995 film Friday.   Tucker was born in Atlanta, Georgia, the youngest son of Mary Louise and Norris Tucker.  Tucker was raised in Decatur, Georgia.  After graduating from Columbia High School, he moved to Los Angeles to pursue a career in comedy and movies.  In 1992, Tucker was a frequent performer on Def Comedy Jam...",1971-08-31,"Atlanta, Georgia, USA",,676,Chris Tucker,https://image.tmdb.org/t/p/w440_and_h660_face/xtAK4hFyDjSYhZ9oRhppuVcLi80.jpg,https://themoviedb.org/person/66
85,"John Christopher ""Johnny"" Depp II (born June 9, 1963 in Kentucky) is an American actor and musician.  He has been nominated for three Academy Awards and has won the Golden Globe and Screen Actors Guild Awards for Best Actor. 

Depp rose to prominence on the 1980s television series 21 Jump Street, becoming a teen idol...",1963-06-09,"Owensboro, Kentucky, USA ",,136,Johnny Depp,https://image.tmdb.org/t/p/w440_and_h660_face/532tIC5wzmmR1jO7oA83rTiLvBx.jpg,https://themoviedb.org/person/85
138,"Quentin Jerome Tarantino (born March 27, 1963) is an American film director, screenwriter, producer, cinematographer and actor.  In the early 1990s he was an independent filmmaker whose films used nonlinear storylines and aestheticization of violence.  His films have earned him a variety of Academy Award, Golden Globe, BAFTA and Palme d'Or Awards and he has been nominated for Emmy and Grammy Awards.  In 2007, Total Film named him the 12th-greatest director of all time...",1963-03-27,"Knoxville, Tennessee, USA",,233,Quentin Tarantino,https://image.tmdb.org/t/p/w440_and_h660_face/1gjcpAa99FAOWGnrUvHEXXsRs7o.jpg,https://themoviedb.org/person/138
