vin,make,model,year,engine
CM-FAL-2019-0102,Cascadia Motors,Falcon,2019,2.0T
CM-FAL-2019-0233,Cascadia Motors,Falcon,2019,2.0T
CM-FAL-2019-0260,Cascadia Motors,Falcon,2019,1.6
CM-FAL-2018-0031,Cascadia Motors,Falcon,2018,1.6
CM-FAL-2018-0077,Cascadia Motors,Falcon,2018,1.6
CM-FAL-2020-0317,Cascadia Motors,Falcon,2020,2.0T
CM-FAL-2020-0451,Cascadia Motors,Falcon,2020,2.0T
CM-FAL-2020-0468,Cascadia Motors,Falcon,2020,2.0T
CM-FAL-2021-0529,Cascadia Motors,Falcon,2021,2.0T
CM-FAL-2021-0583,Cascadia Motors,Falcon,2021,2.0T
CM-FAL-2021-0610,Cascadia Motors,Falcon,2021,2.0T
CM-FAL-2022-0712,Cascadia Motors,Falcon,2022,2.0T
CM-FAL-2022-0745,Cascadia Motors,Falcon,2022,2.0T
CM-FAL-2023-0801,Cascadia Motors,Falcon,2023,2.0T
CM-HER-2019-1104,Cascadia Motors,Heron,2019,2.5
CM-HER-2019-1121,Cascadia Motors,Heron,2019,2.5
CM-HER-2020-1166,Cascadia Motors,Heron,2020,2.5
CM-HER-2020-1203,Cascadia Motors,Heron,2020,2.5
CM-HER-2021-1262,Cascadia Motors,Heron,2021,2.5
CM-HER-2021-1290,Cascadia Motors,Heron,2021,2.5
CM-HER-2022-1349,Cascadia Motors,Heron,2022,2.5
CM-HER-2022-1372,Cascadia Motors,Heron,2022,2.5
CM-HER-2023-1408,Cascadia Motors,Heron,2023,2.5
CM-HER-2024-1450,Cascadia Motors,Heron,2024,2.5
CM-OSP-2020-2055,Cascadia Motors,Osprey,2020,3.5 V6
CM-OSP-2021-2101,Cascadia Motors,Osprey,2021,3.5 V6
CM-OSP-2022-2149,Cascadia Motors,Osprey,2022,3.5 V6
CM-OSP-2022-2160,Cascadia Motors,Osprey,2022,3.5 V6
CM-OSP-2023-2204,Cascadia Motors,Osprey,2023,3.5 V6
CM-OSP-2024-2251,Cascadia Motors,Osprey,2024,3.5 V6
