wo_id,vin,opened,odometer,complaint,dtc_code,procedure_id,comeback
WO-2020-0145,CM-FAL-2019-0102,2020-03-12,18250,"Check engine light, rough idle at stops",P0301,PROC-IGN-COIL,true
WO-2020-0231,CM-FAL-2019-0102,2020-06-18,21540,Misfire returned after coil replacement,P0301,PROC-IGN-COIL,true
WO-2021-0512,CM-FAL-2019-0102,2021-10-05,36120,"Third visit for misfire, customer frustrated",P0301,PROC-IGN-COIL,false
WO-2020-0289,CM-FAL-2020-0317,2020-08-03,9870,Intermittent stumble on acceleration,P0300,PROC-MISFIRE-DIAG,true
WO-2020-0334,CM-FAL-2020-0317,2020-09-21,11930,"Stumble returned, now flashing CEL",P0301,PROC-IGN-COIL,true
WO-2021-0540,CM-FAL-2020-0317,2021-11-12,25410,"Misfire again, requested different fix",P0301,PROC-IGN-COIL,false
WO-2021-0288,CM-FAL-2021-0529,2021-04-19,6020,Rough idle when cold,P0301,PROC-IGN-COIL,true
WO-2021-0533,CM-FAL-2021-0529,2021-10-28,12480,Misfire returned within six months,P0301,PROC-IGN-COIL,false
WO-2021-0455,CM-FAL-2019-0233,2021-08-02,30100,Hesitation and shaking at idle,P0300,PROC-IGN-COIL,true
WO-2021-0561,CM-FAL-2019-0233,2021-12-03,33670,Same hesitation as August visit,P0300,PROC-IGN-COIL,false
WO-2022-0094,CM-FAL-2020-0468,2022-02-14,24890,"Check engine light, misfire counter on cyl 1",P0301,PROC-IGN-COIL,false
WO-2022-0203,CM-FAL-2021-0583,2022-05-09,14230,"Rough running, applied TSB-21-114",P0301,PROC-IGN-COIL,false
WO-2023-0117,CM-FAL-2021-0610,2023-03-22,28760,"Misfire under load, coils and plugs per bulletin",P0300,PROC-IGN-COIL,false
WO-2021-0310,CM-HER-2019-1104,2021-05-20,35420,Grinding from front brakes,,PROC-BRAKE-PAD,true
WO-2021-0398,CM-HER-2019-1104,2021-07-15,38110,Steering wheel shakes when braking,,PROC-BRAKE-FR,false
WO-2022-0150,CM-HER-2020-1166,2022-03-08,30250,Front brake pads worn at service,,PROC-BRAKE-PAD,true
WO-2022-0260,CM-HER-2020-1166,2022-06-02,33480,Vibration under braking since pad job,,PROC-BRAKE-FR,false
WO-2022-0312,CM-HER-2020-1203,2022-07-19,41200,"Brake judder, repaired per TSB-22-031",,PROC-BRAKE-FR,false
WO-2023-0078,CM-HER-2021-1262,2023-02-10,28940,Brake vibration at highway speed,,PROC-BRAKE-FR,false
WO-2023-0301,CM-FAL-2018-0031,2023-08-15,64100,"Front pads worn, no judder complaint",,PROC-BRAKE-PAD,false
WO-2022-0410,CM-HER-2021-1290,2022-10-12,24770,Recall RC-2022-09 brake hose remedy,,PROC-BRAKE-HOSE,false
WO-2022-0431,CM-HER-2022-1349,2022-11-03,9850,Recall RC-2022-09 brake hose remedy,,PROC-BRAKE-HOSE,false
WO-2021-0102,CM-HER-2019-1121,2021-02-04,28930,ABS light intermittent,C0035,PROC-WSS,false
WO-2021-0177,CM-OSP-2020-2055,2021-03-19,15670,ABS and traction lights on,C0035,PROC-WSS,false
WO-2022-0058,CM-HER-2022-1372,2022-01-25,4310,"ABS warning, no codes on retest",U0121,PROC-ABS-DIAG,false
WO-2023-0240,CM-OSP-2021-2101,2023-06-30,31280,ABS light after wheel bearing job,C0035,PROC-WSS,false
WO-2024-0033,CM-OSP-2022-2149,2024-01-22,22140,Traction control fault on rough roads,C0035,PROC-WSS,false
WO-2022-0188,CM-FAL-2018-0077,2022-04-26,58200,Battery flat twice this month,P0562,PROC-BATT,true
WO-2022-0295,CM-FAL-2018-0077,2022-06-27,60030,"New battery flat again, lights dim at idle",P0562,PROC-ALT,false
WO-2023-0155,CM-FAL-2022-0712,2023-04-14,18840,"Low voltage warning, tested per TSB-23-052",P0562,PROC-ALT,false
WO-2023-0289,CM-HER-2023-1408,2023-08-08,12060,Slow cranking when cold,,PROC-BATT,false
WO-2019-0388,CM-FAL-2019-0233,2019-11-21,8140,"CEL on, no driveability complaint",P0420,PROC-ECM-FLASH,false
WO-2020-0067,CM-FAL-2019-0102,2020-01-30,16320,"CEL returned, catalyst efficiency low",P0420,PROC-CAT,false
WO-2021-0046,CM-FAL-2019-0260,2021-01-15,25470,CEL on after dealer software update,P0420,PROC-ECM-FLASH,false
WO-2023-0010,CM-FAL-2020-0451,2023-01-09,30120,Scheduled oil service,,PROC-OIL,false
WO-2024-0021,CM-FAL-2020-0451,2024-01-18,39880,Scheduled oil service,,PROC-OIL,false
WO-2022-0005,CM-OSP-2022-2160,2022-01-06,1490,First service,,PROC-OIL,false
WO-2023-0350,CM-OSP-2023-2204,2023-10-02,8770,Scheduled oil service,,PROC-OIL,false
WO-2024-0102,CM-FAL-2023-0801,2024-04-11,11930,Scheduled oil service,,PROC-OIL,false
